uc_seq,city,gu_gun,name_festival,festival_type,festival_date,festival_place,hosting_method,tags,first_held_year
1,부산,부산,조선통신사축제,전통역사,5.5.~5.7.,용두산공원 일원,대면,"부산축제, 봄축제, 가볼만한축제, 조선통신사축제, 거리공연, 퍼레이드, 전통행렬, 이색체험",2003년도
2,부산,부산,부산항축제,기타,5.27.~5.28(예정),"부산항국제여객터미널, 국립해양박물관 일원",혼합형,"부산축제, 봄축제, 가볼만한축제, 부산항축제, 바다풍경, 이색체험",2008년도
3,부산,부산,부산원도심골목길축제,전통역사,6월중,"원도심 4개구(중구, 서구, 동구, 영도구) 일원",대면,"부산축제, 봄축제, 가볼만한축제, 부산원도심골목길축제, 동구, 영도구, 이색체험",2015년도
4,부산,부산,부산국제록페스티벌,문화예술,7월중,삼락생태공원,혼합형,"부산축제, 여름축제, 가볼만한축제, 삼락생태공원, 부산국제록페스티벌, 락페, 음악, 페스티벌, 밴드공연, 열정, 이색체험, 연인과함께, 친구와함께",2000년도
5,부산,부산,부산바다축제,생태자연,8월중,"해운대, 광안리, 다대포 해수욕장",혼합형,"부산바다, 여름축제, 부산바다축제, 부산해수욕장, 부산축제, 부산여름축제, 이색체험, 데이트코스",1996년도
6,부산,부산,부산불꽃축제,문화예술,10월중,광안리해수욕장 일원,혼합형,"바다, 해변, 가볼만한축제, 부산불꽃축제, 광안리해수욕장, 불꽃축제, 가을축제, 광안대교, 마린시티, 황령산, 이색축제, 가족여행, 아이와함께, 연인과함께",2005년도
7,부산,부산,시민의 종 타종식,문화예술,12.31.,중구 용두산공원,혼합형,"용두산공원, 부산겨울축제, 부산축제, 시민의종, 타동식, 2014, 불꽃축제, 부산관광, 부산, 부산관광공사, 광복동, 남포동",-
8,부산,부산,해운대북극곰축제,생태자연,12월중,해운대해수욕장,혼합형,"바다, 해변, 부산축제, 가볼만한축제, 겨울축제, 해운대북극곰축제, 이색체험, 이색스포츠, 단체",1988년도
9,부산,중구,광복로 연등문화제,문화예술,5월 중,광복로 일원,대면,"부산광복로연등문화제, 부산남포동연등행렬, 광복동연등행렬, 광복로연등, 고아복로연등문화제, 광복로연등행렬, 남포동연등, 남포동연등행렬, 부산연등, 부산연등행렬",2014년도
10,부산,중구,부산자갈치축제,지역특산물,10.14.~10.17.,자갈치시장 일원 등,대면,"부산여행, 남포동, 부산축제, 가을축제, 부산자갈치축제, 자갈치시장, 거리공연, 퍼레이드, 가볼만한축제, 축제, 해산물, 물고기, 바다, 추천여행",1992년도
11,부산,중구,보수동책방골목문화축제,문화예술,10월중,보수동책방골목 일원,혼합형,"부산, 보수동, 보수동책방골목, 문화마을, 책, 서점, 골목길, 벽화, 아날로그, 중고서점, 추억, 계단, 추천여행, 원도심투어, 레트로, 혼자가는여행, 부산여행, 부산가볼만한곳",2004년도
12,부산,중구,광복로 겨울빛 트리축제,문화예술,23년12월~'24년1월,광복로 일대,대면,"부산축제, 겨울축제, 크리스마스, 크리스마스트리, 가볼만한축제, 부산데이트코스, 이색여행, 야경스폿, 가족여행, 친구와함께, 남포동, 광복로겨울빛트리축제",2022년도
13,부산,서구,부산고등어축제,지역특산물,10.27.~10.29.,송도해수욕장,혼합형,"축제, 부산서구축제, 고등어, 국민생선, 고등어축제, 수산물축제, 부산고등어축제, 송도해수욕장, 서구문화원, 부산고등어축제홈페이지, 남항대교걷기대회, 문화관광과, 총무과, 부산서구, 부산광역시",2008년도
