uc_seq,name,gugun,lat,lng,여행지,title,subtitle,addr1,homepage_u,trfc_info,usage_day,hldy_info,usage_time,usage_amou,middle_siz,main_img_n,main_img_t,itemcntnts,geometry
255,흰여울문화마을,영도구,35.07885,129.04402,흰여울문화마을,가파른 절벽 끝에 흰여울문화마을,흰여울길에서 만난 느림의 미학,부산광역시 영도구 흰여울길,http://www.ydculture.com/huinnyeoulculturetown/,"도시철도 1호선 남포역 6번 출구 → 7, 71, 508 버스 환승 → 영선동 백련사 하차버스 7,71,508 영선동 백련사 하차부산시티투어버스 부산역(점보버스) → 흰여울문화마을 하차주차 절영해안산책로",-,-,매일,무료,"점보버스 휠체어 리프트 장착 차량 운행, 요금 할인 50%, 장애인 주차장(절영해안산책로 공영주차장, 유료)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_thumbL,b'eca088ec9881ed95b4ec9588ec82b0ecb185eba19c20eab080ed8c8ceba5b820eb8bb4ebb2bceb9dbd20ec9c84eba19c20eb8f85ed8ab9ed959c20eba788ec9d8420ed928deab2bdec9db420ebb3b4ec9db8eb8ba42e20ed95b4ec9588eab08020eca088ebb2bd20eb819dec979020ebb094eb8ba4eba5bc20eb94b0eb9dbc20eb829c20eca281ec9d8020eab3a8ebaaa9eab8b820ec9588ecaabdec9cbceba19c20ec9e91ec9d8020eca791eb93a4ec9db420eb8ba4eb8ba5eb8ba4eb8ba520ebb699ec96b420ec9e88eb8ba42e20ed94bceb829cebafbceb93a4ec9d9820ec95a0ec9e94ed959c20ec82b6ec9db420ec8b9cec9e91eb909c20eab3b3ec',POINT (129.04402 35.07885)
256,깡깡이 예술마을,영도구,35.092648,129.03255,깡깡이 예술마을,역사가 살아 숨 쉬는 깡깡이예술마을,역사와 예술이 공존하는 곳,부산시 영도구 대평북로 36 깡깡이 안내센터,http://kangkangee.com,"도시철도 1호선 남포역 (6번출구) 도보 18분 마을버스 영도구2 대평동 하차 주차 봉래동, 남항시장 공영주차장 (유료)",-,매주 월요일 (투어 등 시설),"평일, 주말 10:00~17:00가급적 평일 낮 시간 제외, 주말 혹은 통합투어 프로그램 이용 요망",프로그램별 상이,휠체어 접근 가능,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_thumbL,b'ec9881eb8f84eb8ba4eba6ac20eab1b4eb848820ec9e90eab088ecb998ec8b9cec9ea520eba79eec9d8020ed8eb820ebacbcec9691ec9ea5ec979020ebb0b0eb93a4ec9db420eab080eb939d20eb93a4ec96b4ecb0a820ec9e88eb8ba42e20ec84b8ec8381ec979020ebaabb20eab3a0ecb998eb8a9420ebb0b0eb8a9420ec9786eb8ba4eb8a9420eca084ec84a4eca081ec9db820ec8898eba6aceca1b0ec84a0ec9d9820eba994ecb9b420eab9a1eab9a1ec9db420ec9888ec88a0eba788ec9d84ec9db420ec9e88eb8a9420eab3b3ec9db4eb8ba42e20eab9a1eab9a1ec9db4eb9e8020eba790ec9d8020ec8898eba6ac20eca1b0ec84a0ec868cec97',POINT (129.03255 35.092648)
257,국립해양박물관,영도구,35.078728,129.08018,국립해양박물관,해양 문화의 꽃 국립해양박물관,"해양, 어디까지 알고 있니?",부산시 영도구 해양로301번길 45,http://www.knmm.or.kr,"도시철도 1호선 남포역 6번 출구 → 186, 66번 버스 환승 → 국립해양박물관 하차부산시티투어버스 부산역(점보버스) → 국립해양박물관 하차주차 국립해양박물관 주차장 (유료)",-,매주 월요일,b'eab5adeba6bded95b4ec9691ebb095ebacbceab480202ded9994207e20eab8882030393a30307e31383a303028ec9e85ec9ea52031373a3330ebb684eab98ceca78029202ded86a02030393a30307e32313a303028357e38ec9b9429202f2030393a30307e31393a30302839ec9b947e34ec9b9429202dec9dbc2030393a30307e31393a3030202dec84a4eb82a03fecb694ec849d20ec9db5ec9dbc2c20ec96b4eba6b0ec9db4eb82a02c20eab491ebb3b5eca0882030393a30307e32313a303020ed95b4ec9691eb8f84ec849ceab480202ded99947eed86a0ec9a94ec9dbc2031303a30307e31373a30302d20ed9cb4eab480ec9dbc3a20ebb095ebac',"관람료 무료(단, 4D영상관, 유료특별전시 제외)","물품보관소(1, 2층), 휠체어 무료대여, 점자 블록, 점자안내판, 안내견 동반출입, 엘리베이터, 장애인 주차장, 장애인 화장실, 4D영상관 내 휠체어석",https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_thumbL,b'ebb680ec82b0ed9598eba9b420ebb094eb8ba42c20ebb094eb8ba4ed9598eba9b420ebb680ec82b0ec9db4eb9dbceab3a0eb93a420ed9598eca780eba78c20ec9ab0eba6aceb8a9420eb8c80ed959cebafbceab5ad20ed95b4ec9691ec979020eb8c80ed95b420ec96bceba788eb829820ec958ceab3a020ec9e88ec9d84eab98c3fec84b8ec8381ec9d9820ebaaa8eb93a020ebb094eb8ba420ec9db4ec95bceab8b0eab08020ec8b9cec9e91eb9098eb8a9420eab5adeba6bded95b4ec9691ebb095ebacbceab480ec9db420eab3bceab1b0ec998020ed9884ec9eac20eab7b8eba6aceab3a020ebafb8eb9e98ec9d9820ebb094eb8ba4eba19c20ec95',POINT (129.08018 35.078728)
258,태종대,영도구,35.052643,129.0878,태종대 유원지,영도 등대와 함께한 100년 태종대,"가족. 연인, 친구와 함께라면 더없이 좋은",부산광역시 영도구 전망로 24,https://www.bisco.or.kr/taejongdae/,"도시철도 1호선 부산역 7번 출구 →  66, 88, 101 버스 환승 → 태종대(태종대온천) 하차버스 8, 30, 66, 88, 101, 186 태종대(태종대온천) 하차주차 정문입구 주차장(버스전용), 제7주차장, 자유랜드 주차",-,-,하절기 3~10월(04:00~24:00) / 동절기 11~2월(05:00~24:00),무료 (다누비 열차 요금 별도),"장애인 주차장, 장애인 화장실, 안내견 동반 가능, 다누비열차 휠체어리프트 장착 차량 운행, 휠체어 무료대여(정문 관광안내센터)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_thumbL,b'ecb488eba19dec9cbceba19c20ec9ab0eab1b0eca78420ec8bb1eab7b8eb9facec9ab420ec88b2eab8b8ec9d8420eab1b0eb8b90eba9b020ed91b8eba5b820ebb094eb8ba4eba5bc20ed959ceb8888ec979020ebb094eb9dbcebb3bc20ec889820ec9e88eb8a9420eab3b32e20ec98a4eb9e9c20ec84b8ec9b9420ed8c8ceb8f84ec979020eab98eec97ac20eab081ec9691eab081ec8389ec9d9820ec8ba0ebb984eba5bc20eab080eca780eab28c20eb909c20ebb094ec9c84ed95b4ec9588ec9db420eab7b820ec8898eba0a4ed95a8ec9d8420ec9e90eb9e91ed9598eb8a9420eab3b32e20ebb680ec82b020ec9881eb8f8420eb82a8ecaabd20eb81',POINT (129.0878 35.052643)
259,죽성성당,기장군,35.241013,129.24864,죽성성당,기장바다의 색다른 풍경 죽성성당,드라마 세트장의 놀라운 변화,부산광역시 기장군 기장읍 죽성리 134-7,-,버스 해운대온천사거리 정류장 급행 1003 버스 → 기장성당 하차 → 마을버스 6 환승 → 두호마을 하차마을버스 기장군청 정류장 마을버스 6 → 두호마을 하차주차 죽성성당 인근 주차장 (유료),-,-,상시,무료,휠체어 접근 가능,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_thumbL,"동해바다의 에메랄드빛을 고스란히 담고 있는 기장 앞바다는 이제 많은 이들이 찾는 곳이 됐다. 날이 좋으면 좋은 대로, 날이 흐리면 흐린 대로 드라이브하기 더없이 좋은 코스에 경치 좋은 낭",POINT (129.24864 35.241013)
260,아홉산 숲,기장군,35.287334,129.17046,아홉산 숲,400년간 지켜온 자연 그대로의 숲을 만나다,"대나무의 집, 기장 아홉산 숲",부산광역시 기장군 철마면 미동길 37-1,http://ahopsan.com,도시철도 1호선 노포역 → 2-3 마을버스 환승 → 미동마을 하차주차 아홉산숲 주차장,-,-,"평일, 주말 09:00~18:00 (입장마감 17시 00분)","5,000원 (5세부터)",-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_thumbL,"일제강점기, 해방과 전쟁을 지나 산업화를 거치면서도 개방되지 않았던 자연 본연의 모습을 간직한 숲.400년 간 세상에 공개되지 않았던 이곳, 부산 기장군에 위치한 아홉산숲이 그 주인공이다",POINT (129.17046 35.287334)
261,해동용궁사,기장군,35.188583,129.22346,해동용궁사,기장에 가면 해동용궁사,"바다전망 성지, 해동용궁사를 가다",부산광역시 기장군 기장읍 용궁길 86,http://www.yongkungsa.or.kr,"도시철도 2호선 해운대역 7번 출구 → 181, 100, 해운대 9 버스 환승 → 해동용궁사 하차동해선 오시리아역 1번 출구 → 오시리아역 버스정류장 139 버스 환승 → 해동용궁사 하차부산시티투어버스",-,-,"매일, 04:00 ~ 20:30",-,장애인 화장실,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_thumbL,시원하게 트인 기장 앞바다에서 밀려오는 파도소리를 들어본 적 있는지. 감탄이 절로 나오는 해안절경과 끝이 보이지 않는 망망대해가 바로 내 눈앞에 있다면 어떨까.바다와 파도와 바람과 그,POINT (129.22346 35.188583)
262,임랑해수욕장,기장군,35.31905,129.26451,임랑해수욕장,"나만 알고 싶은 해수욕장, 임랑해수욕장",하얀 백사장에 어우러진 은색 달빛,부산광역시 기장군 장안읍 임랑리,-,"도시철도 2호선 해운대역 → 180 버스 환승 → 임랑삼거리 하차버스 37, 180, 188 임랑삼거리 하차마을버스 기장군9, 기장군3 임랑삼거리 하차",해수욕장 개장기간 : 매년 7월 1일 ~ 8월 31일,-,09:00~18:00 (개장 중 입수가능 시간),무료,"휠체어 진입 가능, 장애인 주차장, 장애인 화장실",https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_thumbL,"여름하면 바다, 바다하면 부산이지만 아직까지 타지인들에게는 많이 알려지지 않은 해수욕장이 있다.부산 시민이 사랑하는, 기장군의 양대 해수욕장 중 하나인 임랑해수욕장이 그 주인공이다",POINT (129.26451 35.31905)
264,"문화공감 수정, 초량1941",동구,35.125793,129.04265,"문화공감 수정, 초량1941","오래된 이야기가 있는 곳, 문화공감수정 그리고 초량1941",근대목조 건물과 함께 하는 여유로운 초량 카페 투어,문화공감 수정 부산광역시 동구 홍곡로 75초량1941 부산광역시 동구 망양로 533-5,https://ntchmgsugung.modoo.at/,b'ebacb8ed9994eab3b5eab09020ec8898eca095eb8f84ec8b9cecb2a0eb8f842031ed98b8ec84a020ebb680ec82b0eca784ec97ad2031ebb28820ecb69ceab5ac20eb8f84ebb3b42037ebb684ebb284ec8aa42031303320eab2bdeb82a8ec97aceca49120ed9598ecb0a82035392c2036372c2038312c2031363720eab3a0eab480ec9e85eab5ac20ed9598ecb0a8ebb680ec82b0ec97adec9790ec849c20ed839dec8b9ceba19c20eab8b0ebb3b8ec9a94eab888ecb488eb9f8931393431ebb284ec8aa42032322c202033382c202035322c202038362c2031383620eab888ec8898ec82ac20ed9598ecb0a8ebb680ec82b0ec97adec9790ec849c20ed83',-,문화공감 수정 매주 월요일 초량1941 연중무휴,문화공감 수정 /화~일 10:00~17:00(입장 16:30까지) 초량1941  매일 11:00~19:00,메뉴판 참조,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_thumbL,b'ebb680ec82b0ec9db420eab084eca781ed959c20eab7bced9884eb8c8020ec97adec82ac2c20eb8f99eab5aceb8a9420eab7b820ec94a8ec9597ec9db420ed8dbceca0b820ec9db4ec95bceab8b0eabd83ec9d8420ed94bcec9ab420eb8f99eb84a4eb8ba42e20eab7b820ec9db4ec95bceab8b0eba5bc20eb8bb4eab3a020ec9e88eb8a9420eab8b8ec9d8420eb94b0eb9dbceab080eb8ba420ebb3b4eba9b420e28098ebacb8ed9994eab3b5eab09020ec8898eca095e28099ec9d8420eba78ceb82a020ec889820ec9e88eb8ba42eebacb8ed9994eab3b5eab09020ec8898eca095ec9d8020ebb3b8eb9e9820e28098eca095eb9e80eab081e28099ec',POINT (129.04265 35.125793)
265,일광해수욕장,기장군,35.259953,129.23373,일광해수욕장,"부산바다의 과거와 현재, 일광해수욕장",트렌디한 해양스포츠부터 옛 풍경까지,부산광역시 기장군 일광면 삼성3길 17,-,"도시철도 2호선 해운대역 → 1006, 180번 버스환승 → 일광해수욕장 입구 하차버스 188, 180, 1006 일광해수욕장 입구 하차마을버스 기장군2, 기장군8-1, 기장군9, 기장군3, 기장군8 일광해수욕장 입구",개장기간 : 매년 7월 1일 ~ 8월 31일,-,09:00~18:00 (개장 중 입수가능 시간),무료,"점자블록, 장애인 주차장, 장애인 화장실",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_thumbL,b'ebb680ec82b0ec8b9cebafbcec9db420ec82aceb9e91ed9598eb8a9420ebb094eb8ba42c20ec9dbceab491ed95b4ec8898ec9a95ec9ea52eec97adec82aceca081ec9cbceba19c20eab8b0ec9ea52038eab2bd20eca49120ed9598eb8298eba19c20eabcbded9e9020eba78ced81bc20ec9584eba684eb8ba4ec9ab420ec9dbceab491ed95b4ec8898ec9a95ec9ea5ec9d8020eab3bceab1b0ec979020ed95b4ec9588ec84a0ec9d8420eb94b0eb9dbc20eb85b8ec86a120ec88b2ec9db420ec9e88ec9788eb8ba4eab3a020eca084ed95b4eca780eb8a94eb8db020eab3a0eba0a4ec8b9ceb8c80ebb680ed84b020eca095ebaabdeca3bceba5bc20ebb9',POINT (129.23373 35.259953)
