uc_seq,name,gugun_nm,cate2_nm,lat,lng,plage,tags,title,subtitle,main_place,addr1,addr2,homepage,trfc_info,usage_day,hldy_info,usage_time,usage_amou,middle_siz,main_img_n,main_img_t
305,강다니엘코스,영도구,이색여행,35.078865,129.04428,강다니엘코스,"부산여행, 영도여행, 강다니엘, 강다니엘투어, 덕후투어, 영도대교, 흰여울문화마을, 태종대, 부산투어, 추천여행",‘강다니엘 투어’ 따라 부산 구석구석,-,강다니엘코스,영도대교 부산광역시 영도구 대교동1가신선중학교 부산광역시 영도구 복지관길 40흰여울문화마을 부산광역시 영도구 흰여울길태종대 부산광역시 영도구 전망로 24,-,-,b'ec9881eb8f84eb8c80eab590eb8f84ec8b9cecb2a0eb8f842031ed98b8ec84a020eb82a8ed8facec97ad2036ebb2882c2038ebb28820ecb69ceab5acec8ba0ec84a0eca491ed9599eab590ebb284ec8aa420362c2038322c2038352c203920ec8ba0ec84a0eca491ed9599eab59020ed9598ecb0a820eb8f84ebb3b42033ebb684ed9db0ec97acec9ab8ebacb8ed9994eba788ec9d84eb8f84ec8b9cecb2a0eb8f842031ed98b8ec84a020eb82a8ed8facec97ad2036ebb28820ecb69ceab5ac20e2869220372c2037312c2035303820ebb284ec8aa420ed9998ec8ab920e2869220ec9881ec84a0eb8f9920ebb0b1eba0a8ec82ac20ed9598ecb0a8ebb6',-,-,-,무료,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226144955936_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226144955936_thumbL
306,부산벚꽃투어,사상구,이색여행,35.170444,128.97269,부산벚꽃투어,"봄여행, 매화, 유채꽃, 벚꽃, 장미, 허브랑힐링숲, 부산가볼만한곳, 황령산, 맥도생태공원, 삼락생태공원, 대저생태공원, 포토스폿, 인생샷","부산 곳곳, 벚꽃이어라",-,부산벚꽃투어,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20200117182325604_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200117182325604_thumbL
307,유채꽃명소,강서구,이색여행,35.19906,128.97322,유채꽃명소,"봄여행, 부산여행, 부산가볼만한곳, 부산데이트코스, 부산유채꽃명소, 대저생태공원, 삼락생태공원, 온천천시민공원, 오륙도, 포토스폿, 인생샷","부산 유채꽃명소 추천, 노란 꽃들의 절정",-,유채꽃명소,대저생태공원 부산광역시 강서구 대저1동 2314-11삼락생태공원 부산광역시 사상구 낙동대로 1231온천천시민공원 부산광역시 연제구 연산동 2056-8오륙도 부산광역시 남구 오륙도로 137,대저생태공원  051-971-6011삼락생태공원 051-303-0048온천천시민공원 051-665-4066오륙도 051-607-6395,-,b'eb8c80eca080ec839ded839ceab3b5ec9b90eb8f84ec8b9cecb2a0eb8f842033ed98b8ec84a020eab095ec849ceab5acecb2adec97ad2033ebb28820ecb69ceab5ac20e2869220eab095ec849ceab5acecb2adec97ad20eca095eba598ec9ea520ebb284ec8aa420313235ebb28820ed9998ec8ab920e2869220ebb680ec82b0ed989cec9b90ed9599eab59020ed9598ecb0a820eb8f84ebb3b42038ebb684ec82bceb9dbdec839ded839ceab3b5ec9b90ebb680ec82b0eab980ed95b420eab2bdeca084ecb2a020eab498ebb295eba5b4eb84a4ec8b9ceb96bc2031ebb28820ecb69ceab5ac20eb8f84ebb3b4203136ebb684eca3bcecb0a820ec82bceb',-,연중무휴,상시,무료,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226151124965_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226151124965_thumbL
310,무장애여행,해운대구,이색여행,35.07614,129.0167,무장애여행,"부산여행, 부산무장애여행, 부산당일코스, 장애인추천코스, 장애인추천여행지, 해운대구, 서구, 기장군, 영도구",모든 이들에게 공평한 관광을 선사하는 부산 무장애 여행지,-,무장애여행,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226173045905_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226173045905_thumbL
317,당일코스 1,영도구,일정여행,35.054512,129.08714,당일코스 1,"부산여행, 부산당일치기, 부산당일코스, 부산가볼만한곳, 도시철도투어, 범어사, 부산시민공원, 서면, 40계단, 용두산공원, 감천문화마을, 다대포해수욕장, 부산도시철도1호선투어, 추천여행","부산 당일여행의 정석, 동서로 가로지르기",-,당일코스 1,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226192439590_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226192439590_thumbL
318,당일코스 2,남구,일정여행,35.128017,129.09767,당일코스 2,"부산여행, 부산당일치기, 부산당일코스, 부산가볼만한곳, 도시철도투어, 가족투어, 가족, 부산시민공원, 서면, 40계단, 용두산공원, 감천문화마을, 다대포해수욕장, 부산도시철도1호선투어, 추천여행",가족과 함께하는 역사 & 자연 당일코스,-,당일코스 2,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226193908464_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226193908464_thumbL
319,"부산은 바다지, 부산바다 당일치기",수영구,일정여행,35.15311,129.11865,당일코스 3,"부산여행, 부산바다, 부산당일치기, 해운대구, 기장군, 서구, 사하구, 수영구, 광안리해수욕장, 해운대해수욕장, 송도해수욕장, 송정해수욕장, 일광해수욕장","부산은 바다지, 부산바다 당일치기",-,당일코스 3,광안리해수욕장 부산광역시 수영구 광안해변로 219해운대해수욕장 부산광역시 해운대구 해운대해변로 264부산아쿠아리움 부산광역시 해운대구 해운대해변로 266달맞이길 문탠로드 부산광역시,-,-,-,-,연중무휴,용궁사 05:00 ~ 일몰 시까지,부산아쿠아리움 이용요금 홈페이지 참조,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226194803465_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226194803465_thumbL
320,1박2일코스 1,영도구,일정여행,35.09556,129.03648,1박2일코스 1,"부산여행, 부산가볼만한곳, 강서구, 광안리, 다대포, 케이블카, 전망대, 해안터널, 아홉산숲, 죽성성당, 오륙도, 여행코스, 1박2일",1박 2일에 완성하는 부산 해안선 완전 정복!,-,1박2일코스 1,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226195857630_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226195857630_thumbL
321,1박2일코스 2,영도구,일정여행,35.054066,129.0874,1박2일코스 2,"부산여행, 부산가볼만한곳, 강서구, 광안리, 다대포, 케이블카, 전망대, 해안터널, 아홉산숲, 죽성성당, 오륙도, 여행코스, 1박2일","두 마리 토끼, 서부산과 동부산을 잡자",-,1박2일코스 2,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226201225416_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226201225416_thumbL
322,1박2일코스 3,해운대구,일정여행,35.15841,129.16003,1박2일코스 3,"부산여행, 부산가볼만한곳, 강서구, 광안리, 다대포, 케이블카, 전망대, 해안터널, 아홉산숲, 죽성성당, 오륙도, 여행코스, 1박2일",동해바다의 화려함과 남해바다의 잔잔함을 느끼는 부산여행,-,1박2일코스 3,-,-,-,-,-,-,-,-,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226201936632_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226201936632_thumbL
